scaling,threads,avg_bucket_size,fill_time,partition_time,sort_time,merge_time,total_time
weak,1,100,0.051552,0.347847,2.711217,0.046879,3.174916
weak,2,100,0.051903,0.510481,2.732163,0.049054,3.364636
weak,3,100,0.051542,0.671639,2.717341,0.050437,3.513976
weak,4,100,0.051662,0.796220,2.788590,0.050371,3.710199
weak,5,100,0.053917,0.933119,3.024165,0.050509,4.086316
weak,6,100,0.052390,1.057265,2.725200,0.050991,3.910900
weak,7,100,0.052057,1.143496,3.654902,0.051935,4.928563
weak,8,100,0.055685,1.291964,2.985147,0.052304,4.412257
weak,9,100,0.101655,1.390001,2.747335,0.053686,4.333357
weak,10,100,0.056040,1.485967,4.062962,0.053562,5.687561
weak,1,10,0.051603,1.299932,0.487243,0.116147,2.105730
weak,2,10,0.051777,1.755118,0.966047,0.122177,3.215869
weak,3,10,0.051494,1.880854,3.771015,0.125275,6.097195
weak,4,10,0.052081,2.084253,12.778967,0.125193,15.240283
weak,5,10,0.051812,2.151017,9.967206,0.125879,12.626277
weak,6,10,0.051884,2.376843,69.628226,0.128922,72.528441
weak,7,10,0.051979,2.495160,94.748805,0.127912,97.632706
weak,8,10,0.056203,2.622459,50.775937,0.132226,53.938129
weak,9,10,0.055858,2.751280,96.236402,0.131408,98.516685
weak,10,10,0.068261,2.914544,106.825638,0.135394,110.313409
strong,1,100,0.051694,1.352373,0.487397,0.116594,2.204908
strong,2,100,0.026236,0.798172,0.244791,0.057831,1.214366
strong,3,100,0.017597,0.518279,0.168561,0.038227,0.822778
strong,4,100,0.013427,0.395498,0.127447,0.028932,0.607741
strong,5,100,0.010959,0.340923,0.104452,0.023323,0.513618
strong,6,100,0.009412,0.297033,0.088625,0.019365,0.442741
strong,7,100,0.008099,0.268244,0.077165,0.016578,0.394499
strong,8,100,0.011227,0.250770,0.068178,0.014626,0.366019
strong,9,100,0.020704,0.243618,0.061669,0.012952,0.375072
strong,10,100,0.030584,0.251088,0.055838,0.011478,0.364975
strong,1,10,0.051694,1.222093,3.529460,0.135311,5.451400
strong,2,10,0.026037,0.739312,3.509722,0.068090,4.678897
strong,3,10,0.017604,0.560226,3.410942,0.045587,4.273443
strong,4,10,0.013283,0.471407,3.427921,0.034289,4.133591
strong,5,10,0.011155,0.414538,3.376279,0.027533,3.987785
strong,6,10,0.009111,0.384925,3.390305,0.023095,3.943610
strong,7,10,0.007974,0.373849,3.384713,0.019925,3.907289
strong,8,10,0.007061,0.363335,3.403529,0.017510,3.899285
strong,9,10,0.023315,0.330109,3.449419,0.017319,4.037534
strong,10,10,0.022787,0.390020,3.397789,0.014002,4.000912